name,percentage,Test Framewok,License,Observation
manga-download/hakuneko,84.78%,jest,The Unlicense,
atlassian/react-beautiful-dnd,99.99%,jest,Other,Apache License 2.0
yarnpkg/yarn,98.68%,jest,Other,BSD 2-Clause New or Revised License
single-spa/single-spa,99.06%,jest,Other,MIT License
documentationjs/documentation,95.88%,jest,Other,ISC
pipedreamhq/pipedream,90.57%,jest,Other,MIT License
shutterstock/rickshaw,88.66%,jest,MIT License,
wechat-miniprogram/miniprogram-demo,95.44%,jest,MIT License,
whitestormjs/whs.js,99.98%,jest,MIT License,
antvis/f2,92.19%,jest,MIT License,
glidejs/glide,97.22%,jest,MIT License,
foliojs/pdfkit,99.97%,jest,MIT License,
bvaughn/react-virtualized,97.3%,jest,MIT License,
prettier/eslint-config-prettier,98.92%,jest,MIT License,
bytedance/xgplayer,93.37%,jest,MIT License,
webpack-contrib/webpack-bundle-analyzer,96.79%,jest,MIT License,
facebook/jscodeshift,96.86%,jest,MIT License,
redux-offline/redux-offline,100%,jest,MIT License,
vercel/ncc,98.43%,jest,MIT License,
styled-components/polished,92.75%,jest,MIT License,
verlok/vanilla-lazyload,83.64%,jest,MIT License,
feathericons/feather,96.4%,jest,MIT License,
react-dropzone/react-dropzone,95.2%,jest,MIT License,
gitalk/gitalk,82.51%,jest,MIT License,
moleculerjs/moleculer,99.43%,jest,MIT License,
vuejs/vuex,91.31%,jest,MIT License,
graphql/dataloader,98.96%,jest,MIT License,
bootstrap-vue/bootstrap-vue,97.84%,jest,MIT License,
nock/nock,96.07%,jest,MIT License,
akiran/react-slick,95.52%,jest,MIT License,
liabru/matter-js,100%,jest,MIT License,
segmentio/evergreen,87.98%,jest,MIT License,
jquense/react-big-calendar,80.29%,jest,MIT License,
isomorphic-git/isomorphic-git,99.61%,jest,MIT License,
jackocnr/intl-tel-input,94.99%,jest,MIT License,
jagenjo/litegraph.js,97.1%,jest,MIT License,
chrisleekr/binance-trading-bot,98.54%,jest,MIT License,
moment/luxon,100%,jest,MIT License,
welldone-software/why-did-you-render,97.64%,jest,MIT License,
axa-group/nlp.js,99.86%,jest,MIT License,
tailwindlabs/tailwindcss-typography,100%,jest,MIT License,
tj/commander.js,95.53%,jest,MIT License,
necolas/react-native-web,83%,jest,MIT License,
infernojs/inferno,99.89%,jest,MIT License,
pqina/filepond,95.84%,jest,MIT License,
apexcharts/apexcharts.js,98.58%,jest,MIT License,
jantimon/html-webpack-plugin,99.93%,jest,MIT License,
developit/microbundle,100%,jest,MIT License,
miragejs/miragejs,95.71%,jest,MIT License,
brookhong/surfingkeys,75.35%,jest,MIT License,
redux-saga/redux-saga,82.37%,jest,MIT License,
shipshapecode/tether,91.65%,jest,MIT License,
iamkun/dayjs,100%,jest,MIT License,
cerebroapp/cerebro,82.39%,jest,MIT License,
pinojs/pino,91.25%,jest,MIT License,
facebook/metro,99.81%,jest,MIT License,
anuraghazra/github-readme-stats,99.85%,jest,MIT License,
katex/katex,85.82%,jest,MIT License,
node-formidable/formidable,98.28%,jest,MIT License,
reactstrap/reactstrap,82.4%,jest,MIT License,
trekhleb/javascript-algorithms,99.99%,jest,MIT License,
vuejs/vue-cli,75.05%,jest,MIT License,
webpack/webpack-dev-server,100%,jest,MIT License,
facebook/create-react-app,98.35%,jest,MIT License,
svg/svgo,100%,jest,MIT License,
stylelint/stylelint,98.99%,jest,MIT License,
docsifyjs/docsify,87.06%,jest,MIT License,
nodejs/undici,96.55%,jest,MIT License,
webpack/webpack,97.65%,jest,MIT License,
prettier/prettier,82.68%,jest,MIT License,
react-grid-layout/react-grid-layout,97.47%,jest,MIT License,
thx/gogocode,76%,jest,MIT License,
boringdesigners/boring-avatars,98.11%,jest,MIT License,
dustinbrett/daedalos,88.78%,jest,MIT License,
usebruno/bruno,94.04%,jest,MIT License,
appbaseio/dejavu,99.35%,jest,MIT License,
memochou1993/gpt-ai-assistant,99.91%,jest,MIT License,
di-sukharev/opencommit,98.39%,jest,MIT License,
jaywcjlove/hotkeys-js,92.92%,jest,MIT License,
whiskeysockets/baileys,90.9%,jest,MIT License,
lint-staged/lint-staged,99.44%,jest,MIT License,
MagicMirrorOrg/MagicMirror,88.64%,jest,MIT License,
facebook/stylex,98.52%,jest,MIT License,
hql287/manta,93.8%,jest,GNU Lesser General Public License v3.0,
unblockneteasemusic/server,97.98%,jest,GNU Lesser General Public License v3.0,
expo/create-react-native-app,100%,jest,"BSD 3-Clause ""New"" or ""Revised"" License",
googlechrome/lighthouse-ci,91.5%,jest,Apache License 2.0,
swagger-api/swagger-ui,95.2%,jest,Apache License 2.0,
swagger-api/swagger-editor,94.72%,jest,Apache License 2.0,
dcloudio/uni-app,83.29%,jest,Apache License 2.0,
xenova/transformers.js,96.17%,jest,Apache License 2.0,
CodeGenieApp/serverless-express,99.75%,jest,Apache License 2.0,
huggingface/transformers.js,96.17%,jest,Apache License 2.0,